,day,SW_in,SW_out,LW_in,LW_out,NET
0,1,325.3363446838082,115.33402777777778,321.21990257480866,458.8340277777778,1221.1392757660167
1,2,322.7324530924253,113.93958333333333,318.13134120917306,448.4861111111111,1203.5278164116828
2,3,298.6354166666667,103.26180555555555,330.51666666666665,429.9798611111111,1162.39375
3,4,323.20917303683115,113.22222222222223,314.1295264623955,439.99097222222224,1190.2034843205574
4,5,296.8618055555556,105.46180555555556,324.66087560806113,427.3597222222222,1154.0806115357886
5,6,292.1189151599444,104.21944444444445,330.4583333333333,428.66527777777776,1155.5020862308763
6,7,339.8486111111111,119.95972222222223,303.4374130737135,439.0027777777778,1202.3191933240612
7,8,332.00902777777776,116.75277777777778,313.1266527487822,438.55,1200.4662491301322
8,9,290.57708333333335,104.43680555555555,342.50626740947075,428.11041666666665,1166.4435933147631
9,10,310.8875,108.63888888888889,331.6671299513551,434.94166666666666,1186.3085476025017
10,11,312.2263888888889,108.40625,350.48678720445065,458.5625,1229.7329624478443
11,12,313.09930555555553,108.27638888888889,375.3875,483.82916666666665,1280.5923611111111
12,13,292.5409722222222,97.74583333333334,389.50730688935283,485.9472222222222,1266.3848295059151
13,14,210.24305555555554,76.32916666666667,390.91382904794995,470.8701388888889,1148.4767199444059
14,15,294.88680555555555,91.40833333333333,399.4576388888889,500.2013888888889,1285.9541666666667
15,16,322.0111111111111,114.2625,400.74583333333334,510.2125,1347.2319444444445
16,17,306.8,106.77361111111111,390.9680333564976,492.74583333333334,1297.3662265462126
17,18,298.65625,104.53611111111111,364.09722222222223,459.45694444444445,1226.7465277777778
18,19,314.96875,110.32708333333333,365.43125,460.6090277777778,1251.3361111111112
19,20,329.3236111111111,113.33958333333334,357.7915218902015,473.0395833333333,1273.5218902015288
20,21,338.72133425990273,117.43333333333334,340.7131891137474,470.6125,1267.533147243545
21,22,338.2597222222222,117.55486111111111,325.68936761640026,441.58819444444447,1223.1042390548992
22,23,354.88194444444446,122.9173611111111,306.55385684503125,438.56597222222223,1222.9082696316887
23,24,344.56319444444443,119.73263888888889,319.49965253648367,452.01944444444445,1235.761640027797
24,25,261.2284722222222,87.575,344.9026425591099,441.43958333333336,1135.441585535466
25,26,345.5527777777778,118.82847222222222,337.20361362056985,459.2125,1260.7456567060458
26,27,356.71458333333334,123.3236111111111,309.8464211257818,434.4916666666667,1224.3154968728284
27,28,358.297635605007,125.20694444444445,303.4826147426982,421.0805555555556,1207.4394150417827
28,29,352.90694444444443,122.89444444444445,322.2713987473904,448.5736111111111,1246.6144745998608
29,30,357.6261292564281,123.73680555555555,331.60751565762007,462.7784722222222,1275.9380222841226
30,31,323.7943015983322,107.95972222222223,356.19262865090406,466.9173611111111,1254.8588317107094
